verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
aceptar,2914,acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,aceptás,aceptaba,aceptabas,aceptaba,aceptábamos,aceptabais,aceptaban,aceptabas,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron,aceptaste,aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán,aceptarás,aceptaría,aceptarías,aceptaría,aceptaríamos,aceptaríais,aceptarían,aceptarías,0.0008384255553490342
descubrir,2895,descubro,descubres,descubre,descubrimos,descubrís,descubren,descubrís,descubría,descubrías,descubría,descubríamos,descubríais,descubrían,descubrías,descubrí,descubriste,descubrió,descubrimos,descubristeis,descubrieron,descubriste,descubriré,descubrirás,descubrirá,descubriremos,descubriréis,descubrirán,descubrirás,descubriría,descubrirías,descubriría,descubriríamos,descubriríais,descubrirían,descubrirías,0.0008329588135674173
gastar,2894,gasto,gastas,gasta,gastamos,gastáis,gastan,gastás,gastaba,gastabas,gastaba,gastábamos,gastabais,gastaban,gastabas,gasté,gastaste,gastó,gastamos,gastasteis,gastaron,gastaste,gastaré,gastarás,gastará,gastaremos,gastaréis,gastarán,gastarás,gastaría,gastarías,gastaría,gastaríamos,gastaríais,gastarían,gastarías,0.0008326710903157532
dirigir,2889,dirijo,diriges,dirige,dirigimos,dirigís,dirigen,dirigís,dirigía,dirigías,dirigía,dirigíamos,dirigíais,dirigían,dirigías,dirigí,dirigiste,dirigió,dirigimos,dirigisteis,dirigieron,dirigiste,dirigiré,dirigirás,dirigirá,dirigiremos,dirigiréis,dirigirán,dirigirás,dirigiría,dirigirías,dirigiría,dirigiríamos,dirigiríais,dirigirían,dirigirías,0.0008312324740574331
abrazar,2880,abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazás,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazabas,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazaste,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazarás,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazarías,0.0008286429647924566
yacer,2851,"yazco, yazgo, yago",yaces,yace,yacemos,yacéis,yacen,yacés,yacía,yacías,yacía,yacíamos,yacíais,yacían,yacías,yací,yaciste,yació,yacimos,yacisteis,yacieron,yaciste,yaceré,yacerás,yacerá,yaceremos,yaceréis,yacerán,yacerás,yacería,yacerías,yacería,yaceríamos,yaceríais,yacerían,yacerías,0.0008202989904941993
parar,2841,paro,paras,para,paramos,paráis,paran,parás,paraba,parabas,paraba,parábamos,parabais,paraban,parabas,paré,paraste,paró,paramos,parasteis,pararon,paraste,pararé,pararás,parará,pararemos,pararéis,pararán,pararás,pararía,pararías,pararía,pararíamos,pararíais,pararían,pararías,0.0008174217579775588
obedecer,2832,obedezco,obedeces,obedece,obedecemos,obedecéis,obedecen,obedecés,obedecía,obedecías,obedecía,obedecíamos,obedecíais,obedecían,obedecías,obedecí,obedeciste,obedeció,obedecimos,obedecisteis,obedecieron,obedeciste,obedeceré,obedecerás,obedecerá,obedeceremos,obedeceréis,obedecerán,obedecerás,obedecería,obedecerías,obedecería,obedeceríamos,obedeceríais,obedecerían,obedecerías,0.0008148322487125824
disfrutar,2826,disfruto,disfrutas,disfruta,disfrutamos,disfrutáis,disfrutan,disfrutás,disfrutaba,disfrutabas,disfrutaba,disfrutábamos,disfrutabais,disfrutaban,disfrutabas,disfruté,disfrutaste,disfrutó,disfrutamos,disfrutasteis,disfrutaron,disfrutaste,disfrutaré,disfrutarás,disfrutará,disfrutaremos,disfrutaréis,disfrutarán,disfrutarás,disfrutaría,disfrutarías,disfrutaría,disfrutaríamos,disfrutaríais,disfrutarían,disfrutarías,0.000813105909202598
negar,2818,niego,niegas,niega,negamos,negáis,niegan,negás,negaba,negabas,negaba,negábamos,negabais,negaban,negabas,negué,negaste,negó,negamos,negasteis,negaron,negaste,negaré,negarás,negará,negaremos,negaréis,negarán,negarás,negaría,negarías,negaría,negaríamos,negaríais,negarían,negarías,0.0008108041231892856
interesar,2815,intereso,interesas,interesa,interesamos,interesáis,interesan,interesás,interesaba,interesabas,interesaba,interesábamos,interesabais,interesaban,interesabas,interesé,interesaste,interesó,interesamos,interesasteis,interesaron,interesaste,interesaré,interesarás,interesará,interesaremos,interesaréis,interesarán,interesarás,interesaría,interesarías,interesaría,interesaríamos,interesaríais,interesarían,interesarías,0.0008099409534342935
tratar,2808,trato,tratas,trata,tratamos,tratáis,tratan,tratás,trataba,tratabas,trataba,tratábamos,tratabais,trataban,tratabas,traté,trataste,trató,tratamos,tratasteis,trataron,trataste,trataré,tratarás,tratará,trataremos,trataréis,tratarán,tratarás,trataría,tratarías,trataría,trataríamos,trataríais,tratarían,tratarías,0.0008079268906726452
proteger,2803,protejo,proteges,protege,protegemos,protegéis,protegen,protegés,protegía,protegías,protegía,protegíamos,protegíais,protegían,protegías,protegí,protegiste,protegió,protegimos,protegisteis,protegieron,protegiste,protegeré,protegerás,protegerá,protegeremos,protegeréis,protegerán,protegerás,protegería,protegerías,protegería,protegeríamos,protegeríais,protegerían,protegerías,0.000806488274414325
cumplir,2802,cumplo,cumples,cumple,cumplimos,cumplís,cumplen,cumplís,cumplía,cumplías,cumplía,cumplíamos,cumplíais,cumplían,cumplías,cumplí,cumpliste,cumplió,cumplimos,cumplisteis,cumplieron,cumpliste,cumpliré,cumplirás,cumplirá,cumpliremos,cumpliréis,cumplirán,cumplirás,cumpliría,cumplirías,cumpliría,cumpliríamos,cumpliríais,cumplirían,cumplirías,0.0008062005511626608
abandonar,2796,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonás,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonabas,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonaste,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonarás,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonarías,0.0008044742116526766
nevar,2783,–,–,nieva,–,–,–,–,–,–,nevaba,–,–,–,–,–,–,nevó,–,–,–,–,–,–,nevará,–,–,–,–,–,–,nevaría,–,–,–,–,0.0008007338093810439
medir,2783,mido,mides,mide,medimos,medís,miden,medís,medía,medías,medía,medíamos,medíais,medían,medías,medí,mediste,midió,medimos,medisteis,midieron,mediste,mediré,medirás,medirá,mediremos,mediréis,medirán,medirás,mediría,medirías,mediría,mediríamos,mediríais,medirían,medirías,0.0008007338093810439
cansar,2779,canso,cansas,cansa,cansamos,cansáis,cansan,cansás,cansaba,cansabas,cansaba,cansábamos,cansabais,cansaban,cansabas,cansé,cansaste,cansó,cansamos,cansasteis,cansaron,cansaste,cansaré,cansarás,cansará,cansaremos,cansaréis,cansarán,cansarás,cansaría,cansarías,cansaría,cansaríamos,cansaríais,cansarían,cansarías,0.0007995829163743878
sacudir,2777,sacudo,sacudes,sacude,sacudimos,sacudís,sacuden,sacudís,sacudía,sacudías,sacudía,sacudíamos,sacudíais,sacudían,sacudías,sacudí,sacudiste,sacudió,sacudimos,sacudisteis,sacudieron,sacudiste,sacudiré,sacudirás,sacudirá,sacudiremos,sacudiréis,sacudirán,sacudirás,sacudiría,sacudirías,sacudiría,sacudiríamos,sacudiríais,sacudirían,sacudirías,0.0007990074698710597
invertir,2762,invierto,inviertes,invierte,invertimos,invertís,invierten,invertís,invertía,invertías,invertía,invertíamos,invertíais,invertían,invertías,invertí,invertiste,invirtió,invertimos,invertisteis,invirtieron,invertiste,invertiré,invertirás,invertirá,invertiremos,invertiréis,invertirán,invertirás,invertiría,invertirías,invertiría,invertiríamos,invertiríais,invertirían,invertirías,0.000794691621096099
arrepentir,2759,me arrepiento,te arrepientes,se arrepiente,nos arrepentimos,os arrepentís,se arrepienten,te arrepentís,me arrepentía,te arrepentías,se arrepentía,nos arrepentíamos,os arrepentíais,se arrepentían,te arrepentías,me arrepentí,te arrepentiste,se arrepintió,nos arrepentimos,os arrepentisteis,se arrepintieron,te arrepentiste,me arrepentiré,te arrepentirás,se arrepentirá,nos arrepentiremos,os arrepentiréis,se arrepentirán,te arrepentirás,me arrepentiría,te arrepentirías,se arrepentiría,nos arrepentiríamos,os arrepentiríais,se arrepentirían,te arrepentirías,0.0007938284513411069
fijar,2757,fijo,fijas,fija,fijamos,fijáis,fijan,fijás,fijaba,fijabas,fijaba,fijábamos,fijabais,fijaban,fijabas,fijé,fijaste,fijó,fijamos,fijasteis,fijaron,fijaste,fijaré,fijarás,fijará,fijaremos,fijaréis,fijarán,fijarás,fijaría,fijarías,fijaría,fijaríamos,fijaríais,fijarían,fijarías,0.0007932530048377788
duchar,2745,ducho,duchas,ducha,duchamos,ducháis,duchan,duchás,duchaba,duchabas,duchaba,duchábamos,duchabais,duchaban,duchabas,duché,duchaste,duchó,duchamos,duchasteis,ducharon,duchaste,ducharé,ducharás,duchará,ducharemos,ducharéis,ducharán,ducharás,ducharía,ducharías,ducharía,ducharíamos,ducharíais,ducharían,ducharías,0.0007898003258178101
encantar,2744,encanto,encantas,encanta,encantamos,encantáis,encantan,encantás,encantaba,encantabas,encantaba,encantábamos,encantabais,encantaban,encantabas,encanté,encantaste,encantó,encantamos,encantasteis,encantaron,encantaste,encantaré,encantarás,encantará,encantaremos,encantaréis,encantarán,encantarás,encantaría,encantarías,encantaría,encantaríamos,encantaríais,encantarían,encantarías,0.0007895126025661461
firmar,2742,firmo,firmas,firma,firmamos,firmáis,firman,firmás,firmaba,firmabas,firmaba,firmábamos,firmabais,firmaban,firmabas,firmé,firmaste,firmó,firmamos,firmasteis,firmaron,firmaste,firmaré,firmarás,firmará,firmaremos,firmaréis,firmarán,firmarás,firmaría,firmarías,firmaría,firmaríamos,firmaríais,firmarían,firmarías,0.000788937156062818
sofreir,2732,sofrío,sofríes,sofríe,sofreímos,sofreís,sofríen,sofreís,sofreía,sofreías,sofreía,sofreíamos,sofreíais,sofreían,sofreías,sofreí,sofreíste,sofrió,sofreímos,sofreísteis,sofrieron,sofreíste,sofreiré,sofreirás,sofreirá,sofreiremos,sofreiréis,sofreirán,sofreirás,sofreiría,sofreirías,sofreiría,sofreiríamos,sofreiríais,sofreirían,sofreirías,0.0007860599235461776
besar,2727,beso,besas,besa,besamos,besáis,besan,besás,besaba,besabas,besaba,besábamos,besabais,besaban,besabas,besé,besaste,besó,besamos,besasteis,besaron,besaste,besaré,besarás,besará,besaremos,besaréis,besarán,besarás,besaría,besarías,besaría,besaríamos,besaríais,besarían,besarías,0.0007846213072878574
contribuir,2721,contribuyo,contribuyes,contribuye,contribuimos,contribuís,contribuyen,contribuís,contribuía,contribuías,contribuía,contribuíamos,contribuíais,contribuían,contribuías,contribuí,contribuiste,contribuyó,contribuimos,contribuisteis,contribuyeron,contribuiste,contribuiré,contribuirás,contribuirá,contribuiremos,contribuiréis,contribuirán,contribuirás,contribuiría,contribuirías,contribuiría,contribuiríamos,contribuiríais,contribuirían,contribuirías,0.000782894967777873
mezclar,2719,mezclo,mezclas,mezcla,mezclamos,mezcláis,mezclan,mezclás,mezclaba,mezclabas,mezclaba,mezclábamos,mezclabais,mezclaban,mezclabas,mezclé,mezclaste,mezcló,mezclamos,mezclasteis,mezclaron,mezclaste,mezclaré,mezclarás,mezclará,mezclaremos,mezclaréis,mezclarán,mezclarás,mezclaría,mezclarías,mezclaría,mezclaríamos,mezclaríais,mezclarían,mezclarías,0.000782319521274545
llenar,2714,lleno,llenas,llena,llenamos,llenáis,llenan,llenás,llenaba,llenabas,llenaba,llenábamos,llenabais,llenaban,llenabas,llené,llenaste,llenó,llenamos,llenasteis,llenaron,llenaste,llenaré,llenarás,llenará,llenaremos,llenaréis,llenarán,llenarás,llenaría,llenarías,llenaría,llenaríamos,llenaríais,llenarían,llenarías,0.0007808809050162247
regar,2714,riego,riegas,riega,regamos,regáis,riegan,regás,regaba,regabas,regaba,regábamos,regabais,regaban,regabas,regué,regaste,regó,regamos,regasteis,regaron,regaste,regaré,regarás,regará,regaremos,regaréis,regarán,regarás,regaría,regarías,regaría,regaríamos,regaríais,regarían,regarías,0.0007808809050162247
bendecir,2713,bendigo,bendices,bendice,bendecimos,bendecís,bendicen,bendecís,bendecía,bendecías,bendecía,bendecíamos,bendecíais,bendecían,bendecías,bendije,bendijiste,bendijo,bendijimos,bendijisteis,bendijeron,bendijiste,bendeciré,bendecirás,bendecirá,bendeciremos,bendeciréis,bendecirán,bendecirás,bendeciría,bendecirías,bendeciría,bendeciríamos,bendeciríais,bendecirían,bendecirías,0.0007805931817645606
acordar,2693,acuerdo,acuerdas,acuerda,acordamos,acordáis,acuerdan,acordás,acordaba,acordabas,acordaba,acordábamos,acordabais,acordaban,acordabas,acordé,acordaste,acordó,acordamos,acordasteis,acordaron,acordaste,acordaré,acordarás,acordará,acordaremos,acordaréis,acordarán,acordarás,acordaría,acordarías,acordaría,acordaríamos,acordaríais,acordarían,acordarías,0.0007748387167312797
utilizar,2692,utilizo,utilizas,utiliza,utilizamos,utilizáis,utilizan,utilizás,utilizaba,utilizabas,utilizaba,utilizábamos,utilizabais,utilizaban,utilizabas,utilicé,utilizaste,utilizó,utilizamos,utilizasteis,utilizaron,utilizaste,utilizaré,utilizarás,utilizará,utilizaremos,utilizaréis,utilizarán,utilizarás,utilizaría,utilizarías,utilizaría,utilizaríamos,utilizaríais,utilizarían,utilizarías,0.0007745509934796157
reciclar,2683,reciclo,reciclas,recicla,reciclamos,recicláis,reciclan,reciclás,reciclaba,reciclabas,reciclaba,reciclábamos,reciclabais,reciclaban,reciclabas,reciclé,reciclaste,recicló,reciclamos,reciclasteis,reciclaron,reciclaste,reciclaré,reciclarás,reciclará,reciclaremos,reciclaréis,reciclarán,reciclarás,reciclaría,reciclarías,reciclaría,reciclaríamos,reciclaríais,reciclarían,reciclarías,0.0007719614842146392
ahorrar,2673,ahorro,ahorras,ahorra,ahorramos,ahorráis,ahorran,ahorrás,ahorraba,ahorrabas,ahorraba,ahorrábamos,ahorrabais,ahorraban,ahorrabas,ahorré,ahorraste,ahorró,ahorramos,ahorrasteis,ahorraron,ahorraste,ahorraré,ahorrarás,ahorrará,ahorraremos,ahorraréis,ahorrarán,ahorrarás,ahorraría,ahorrarías,ahorraría,ahorraríamos,ahorraríais,ahorrarían,ahorrarías,0.0007690842516979988
responder,2662,respondo,respondes,responde,respondemos,respondéis,responden,respondés,respondía,respondías,respondía,respondíamos,respondíais,respondían,respondías,respondí,respondiste,respondió,respondimos,respondisteis,respondieron,respondiste,responderé,responderás,responderá,responderemos,responderéis,responderán,responderás,respondería,responderías,respondería,responderíamos,responderíais,responderían,responderías,0.0007659192959296943
pasear,2642,paseo,paseas,pasea,paseamos,paseáis,pasean,paseás,paseaba,paseabas,paseaba,paseábamos,paseabais,paseaban,paseabas,paseé,paseaste,paseó,paseamos,paseasteis,pasearon,paseaste,pasearé,pasearás,paseará,pasearemos,pasearéis,pasearán,pasearás,pasearía,pasearías,pasearía,pasearíamos,pasearíais,pasearían,pasearías,0.0007601648308964133
poseer,2636,poseo,posees,posee,poseemos,poseéis,poseen,poseés,poseía,poseías,poseía,poseíamos,poseíais,poseían,poseías,poseí,poseíste,poseyó,poseímos,poseísteis,poseyeron,poseíste,poseeré,poseerás,poseerá,poseeremos,poseeréis,poseerán,poseerás,poseería,poseerías,poseería,poseeríamos,poseeríais,poseerían,poseerías,0.000758438491386429
influir,2623,influyo,influyes,influye,influimos,influís,influyen,influís,influía,influías,influía,influíamos,influíais,influían,influías,influí,influiste,influyó,influimos,influisteis,influyeron,influiste,influiré,influirás,influirá,influiremos,influiréis,influirán,influirás,influiría,influirías,influiría,influiríamos,influiríais,influirían,influirías,0.0007546980891147964
malentender,2622,malentiendo,malentiendes,malentiende,malentendemos,malentendéis,malentienden,malentendés,malentendía,malentendías,malentendía,malentendíamos,malentendíais,malentendían,malentendías,malentendí,malentendiste,malentendió,malentendimos,malentendisteis,malentendieron,malentendiste,malentenderé,malentenderás,malentenderá,malentenderemos,malentenderéis,malentenderán,malentenderás,malentendería,malentenderías,malentendería,malentenderíamos,malentenderíais,malentenderían,malentenderías,0.0007544103658631324
continuar,2621,continúo,continúas,continúa,continuamos,continuáis,continúan,continuás,continuaba,continuabas,continuaba,continuábamos,continuabais,continuaban,continuabas,continué,continuaste,continuó,continuamos,continuasteis,continuaron,continuaste,continuaré,continuarás,continuará,continuaremos,continuaréis,continuarán,continuarás,continuaría,continuarías,continuaría,continuaríamos,continuaríais,continuarían,continuarías,0.0007541226426114684
juntar,2605,junto,juntas,junta,juntamos,juntáis,juntan,juntás,juntaba,juntabas,juntaba,juntábamos,juntabais,juntaban,juntabas,junté,juntaste,juntó,juntamos,juntasteis,juntaron,juntaste,juntaré,juntarás,juntará,juntaremos,juntaréis,juntarán,juntarás,juntaría,juntarías,juntaría,juntaríamos,juntaríais,juntarían,juntarías,0.0007495190705848436
vacar,2595,vaco,vacas,vaca,vacamos,vacáis,vacan,vacás,vacaba,vacabas,vacaba,vacábamos,vacabais,vacaban,vacabas,vaqué,vacaste,vacó,vacamos,vacasteis,vacaron,vacaste,vacaré,vacarás,vacará,vacaremos,vacaréis,vacarán,vacarás,vacaría,vacarías,vacaría,vacaríamos,vacaríais,vacarían,vacarías,0.0007466418380682031
montar,2590,monto,montas,monta,montamos,montáis,montan,montás,montaba,montabas,montaba,montábamos,montabais,montaban,montabas,monté,montaste,montó,montamos,montasteis,montaron,montaste,montaré,montarás,montará,montaremos,montaréis,montarán,montarás,montaría,montarías,montaría,montaríamos,montaríais,montarían,montarías,0.0007452032218098828
torcer,2585,tuerzo,tuerces,tuerce,torcemos,torcéis,tuercen,torcés,torcía,torcías,torcía,torcíamos,torcíais,torcían,torcías,torcí,torciste,torció,torcimos,torcisteis,torcieron,torciste,torceré,torcerás,torcerá,torceremos,torceréis,torcerán,torcerás,torcería,torcerías,torcería,torceríamos,torceríais,torcerían,torcerías,0.0007437646055515626
intentar,2580,intento,intentas,intenta,intentamos,intentáis,intentan,intentás,intentaba,intentabas,intentaba,intentábamos,intentabais,intentaban,intentabas,intenté,intentaste,intentó,intentamos,intentasteis,intentaron,intentaste,intentaré,intentarás,intentará,intentaremos,intentaréis,intentarán,intentarás,intentaría,intentarías,intentaría,intentaríamos,intentaríais,intentarían,intentarías,0.0007423259892932423
suponer,2578,supongo,supones,supone,suponemos,suponéis,suponen,suponés,suponía,suponías,suponía,suponíamos,suponíais,suponían,suponías,supuse,supusiste,supuso,supusimos,supusisteis,supusieron,supusiste,supondré,supondrás,supondrá,supondremos,supondréis,supondrán,supondrás,supondría,supondrías,supondría,supondríamos,supondríais,supondrían,supondrías,0.0007417505427899143
graduar,2557,gradúo,gradúas,gradúa,graduamos,graduáis,gradúan,graduás,graduaba,graduabas,graduaba,graduábamos,graduabais,graduaban,graduabas,gradué,graduaste,graduó,graduamos,graduasteis,graduaron,graduaste,graduaré,graduarás,graduará,graduaremos,graduaréis,graduarán,graduarás,graduaría,graduarías,graduaría,graduaríamos,graduaríais,graduarían,graduarías,0.0007357083545049693
merendar,2555,meriendo,meriendas,merienda,merendamos,merendáis,meriendan,merendás,merendaba,merendabas,merendaba,merendábamos,merendabais,merendaban,merendabas,merendé,merendaste,merendó,merendamos,merendasteis,merendaron,merendaste,merendaré,merendarás,merendará,merendaremos,merendaréis,merendarán,merendarás,merendaría,merendarías,merendaría,merendaríamos,merendaríais,merendarían,merendarías,0.0007351329080016412
vencer,2550,venzo,vences,vence,vencemos,vencéis,vencen,vencés,vencía,vencías,vencía,vencíamos,vencíais,vencían,vencías,vencí,venciste,venció,vencimos,vencisteis,vencieron,venciste,venceré,vencerás,vencerá,venceremos,venceréis,vencerán,vencerás,vencería,vencerías,vencería,venceríamos,venceríais,vencerían,vencerías,0.0007336942917433209
partir,2549,parto,partes,parte,partimos,partís,parten,partís,partía,partías,partía,partíamos,partíais,partían,partías,partí,partiste,partió,partimos,partisteis,partieron,partiste,partiré,partirás,partirá,partiremos,partiréis,partirán,partirás,partiría,partirías,partiría,partiríamos,partiríais,partirían,partirías,0.0007334065684916569
descansar,2533,descanso,descansas,descansa,descansamos,descansáis,descansan,descansás,descansaba,descansabas,descansaba,descansábamos,descansabais,descansaban,descansabas,descansé,descansaste,descansó,descansamos,descansasteis,descansaron,descansaste,descansaré,descansarás,descansará,descansaremos,descansaréis,descansarán,descansarás,descansaría,descansarías,descansaría,descansaríamos,descansaríais,descansarían,descansarías,0.0007288029964650321
atraer,2528,atraigo,atraes,atrae,atraemos,atraéis,atraen,atraés,atraía,atraías,atraía,atraíamos,atraíais,atraían,atraías,atraje,atrajiste,atrajo,atrajimos,atrajisteis,atrajeron,atrajiste,atraeré,atraerás,atraerá,atraeremos,atraeréis,atraerán,atraerás,atraería,atraerías,atraería,atraeríamos,atraeríais,atraerían,atraerías,0.0007273643802067119
establecer,2521,establezco,estableces,establece,establecemos,establecéis,establecen,establecés,establecía,establecías,establecía,establecíamos,establecíais,establecían,establecías,establecí,estableciste,estableció,establecimos,establecisteis,establecieron,estableciste,estableceré,establecerás,establecerá,estableceremos,estableceréis,establecerán,establecerás,establecería,establecerías,establecería,estableceríamos,estableceríais,establecerían,establecerías,0.0007253503174450635
invitar,2519,invito,invitas,invita,invitamos,invitáis,invitan,invitás,invitaba,invitabas,invitaba,invitábamos,invitabais,invitaban,invitabas,invité,invitaste,invitó,invitamos,invitasteis,invitaron,invitaste,invitaré,invitarás,invitará,invitaremos,invitaréis,invitarán,invitarás,invitaría,invitarías,invitaría,invitaríamos,invitaríais,invitarían,invitarías,0.0007247748709417355
verter,2518,vierto,viertes,vierte,vertemos,vertéis,vierten,vertés,vertía,vertías,vertía,vertíamos,vertíais,vertían,vertías,vertí,vertiste,vertió,vertimos,vertisteis,vertieron,vertiste,verteré,verterás,verterá,verteremos,verteréis,verterán,verterás,vertería,verterías,vertería,verteríamos,verteríais,verterían,verterías,0.0007244871476900714
ocurrir,2512,ocurro,ocurres,ocurre,ocurrimos,ocurrís,ocurren,ocurrís,ocurría,ocurrías,ocurría,ocurríamos,ocurríais,ocurrían,ocurrías,ocurrí,ocurriste,ocurrió,ocurrimos,ocurristeis,ocurrieron,ocurriste,ocurriré,ocurrirás,ocurrirá,ocurriremos,ocurriréis,ocurrirán,ocurrirás,ocurriría,ocurrirías,ocurriría,ocurriríamos,ocurriríais,ocurrirían,ocurrirías,0.0007227608081800871
imprimir,2511,imprimo,imprimes,imprime,imprimimos,imprimís,imprimen,imprimís,imprimía,imprimías,imprimía,imprimíamos,imprimíais,imprimían,imprimías,imprimí,imprimiste,imprimió,imprimimos,imprimisteis,imprimieron,imprimiste,imprimiré,imprimirás,imprimirá,imprimiremos,imprimiréis,imprimirán,imprimirás,imprimiría,imprimirías,imprimiría,imprimiríamos,imprimiríais,imprimirían,imprimirías,0.0007224730849284231
bucear,2507,buceo,buceas,bucea,buceamos,buceáis,bucean,buceás,buceaba,buceabas,buceaba,buceábamos,buceabais,buceaban,buceabas,buceé,buceaste,buceó,buceamos,buceasteis,bucearon,buceaste,bucearé,bucearás,buceará,bucearemos,bucearéis,bucearán,bucearás,bucearía,bucearías,bucearía,bucearíamos,bucearíais,bucearían,bucearías,0.0007213221919217669
zafar,2506,zafo,zafas,zafa,zafamos,zafáis,zafan,zafás,zafaba,zafabas,zafaba,zafábamos,zafabais,zafaban,zafabas,zafé,zafaste,zafó,zafamos,zafasteis,zafaron,zafaste,zafaré,zafarás,zafará,zafaremos,zafaréis,zafarán,zafarás,zafaría,zafarías,zafaría,zafaríamos,zafaríais,zafarían,zafarías,0.0007210344686701029
reconocer,2499,reconozco,reconoces,reconoce,reconocemos,reconocéis,reconocen,reconocés,reconocía,reconocías,reconocía,reconocíamos,reconocíais,reconocían,reconocías,reconocí,reconociste,reconoció,reconocimos,reconocisteis,reconocieron,reconociste,reconoceré,reconocerás,reconocerá,reconoceremos,reconoceréis,reconocerán,reconocerás,reconocería,reconocerías,reconocería,reconoceríamos,reconoceríais,reconocerían,reconocerías,0.0007190204059084545
abanicar,2499,abanico,abanicas,abanica,abanicamos,abanicáis,abanican,abanicás,abanicaba,abanicabas,abanicaba,abanicábamos,abanicabais,abanicaban,abanicabas,abaniqué,abanicaste,abanicó,abanicamos,abanicasteis,abanicaron,abanicaste,abanicaré,abanicarás,abanicará,abanicaremos,abanicaréis,abanicarán,abanicarás,abanicaría,abanicarías,abanicaría,abanicaríamos,abanicaríais,abanicarían,abanicarías,0.0007190204059084545
gritar,2499,grito,gritas,grita,gritamos,gritáis,gritan,gritás,gritaba,gritabas,gritaba,gritábamos,gritabais,gritaban,gritabas,grité,gritaste,gritó,gritamos,gritasteis,gritaron,gritaste,gritaré,gritarás,gritará,gritaremos,gritaréis,gritarán,gritarás,gritaría,gritarías,gritaría,gritaríamos,gritaríais,gritarían,gritarías,0.0007190204059084545
convencer,2484,convenzo,convences,convence,convencemos,convencéis,convencen,convencés,convencía,convencías,convencía,convencíamos,convencíais,convencían,convencías,convencí,convenciste,convenció,convencimos,convencisteis,convencieron,convenciste,convenceré,convencerás,convencerá,convenceremos,convenceréis,convencerán,convencerás,convencería,convencerías,convencería,convenceríamos,convenceríais,convencerían,convencerías,0.0007147045571334938
temer,2481,temo,temes,teme,tememos,teméis,temen,temés,temía,temías,temía,temíamos,temíais,temían,temías,temí,temiste,temió,temimos,temisteis,temieron,temiste,temeré,temerás,temerá,temeremos,temeréis,temerán,temerás,temería,temerías,temería,temeríamos,temeríais,temerían,temerías,0.0007138413873785017
satisfacer,2469,satisfago,satisfaces,satisface,satisfacemos,satisfacéis,satisfacen,satisfacés,satisfacía,satisfacías,satisfacía,satisfacíamos,satisfacíais,satisfacían,satisfacías,satisfice,satisficiste,satisfizo,satisficimos,satisficisteis,satisficieron,satisficiste,satisfaré,satisfarás,satisfará,satisfaremos,satisfaréis,satisfarán,satisfarás,satisfaría,satisfarías,satisfaría,satisfaríamos,satisfaríais,satisfarían,satisfarías,0.0007103887083585331
matar,2464,mato,matas,mata,matamos,matáis,matan,matás,mataba,matabas,mataba,matábamos,matabais,mataban,matabas,maté,mataste,mató,matamos,matasteis,mataron,mataste,mataré,matarás,matará,mataremos,mataréis,matarán,matarás,mataría,matarías,mataría,mataríamos,mataríais,matarían,matarías,0.0007089500921002128
advertir,2458,advierto,adviertes,advierte,advertimos,advertís,advierten,advertís,advertía,advertías,advertía,advertíamos,advertíais,advertían,advertías,advertí,advertiste,advirtió,advertimos,advertisteis,advirtieron,advertiste,advertiré,advertirás,advertirá,advertiremos,advertiréis,advertirán,advertirás,advertiría,advertirías,advertiría,advertiríamos,advertiríais,advertirían,advertirías,0.0007072237525902286
abogar,2454,abogo,abogas,aboga,abogamos,abogáis,abogan,abogás,abogaba,abogabas,abogaba,abogábamos,abogabais,abogaban,abogabas,abogué,abogaste,abogó,abogamos,abogasteis,abogaron,abogaste,abogaré,abogarás,abogará,abogaremos,abogaréis,abogarán,abogarás,abogaría,abogarías,abogaría,abogaríamos,abogaríais,abogarían,abogarías,0.0007060728595835724
