verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
pronosticar,1403,pronostico,pronosticas,pronostica,pronosticamos,pronosticáis,pronostican,pronosticás,pronosticaba,pronosticabas,pronosticaba,pronosticábamos,pronosticabais,pronosticaban,pronosticabas,pronostiqué,pronosticaste,pronosticó,pronosticamos,pronosticasteis,pronosticaron,pronosticaste,pronosticaré,pronosticarás,pronosticará,pronosticaremos,pronosticaréis,pronosticarán,pronosticarás,pronosticaría,pronosticarías,pronosticaría,pronosticaríamos,pronosticaríais,pronosticarían,pronosticarías,0.00040367572208465855
encoger,1402,encojo,encoges,encoge,encogemos,encogéis,encogen,encogés,encogía,encogías,encogía,encogíamos,encogíais,encogían,encogías,encogí,encogiste,encogió,encogimos,encogisteis,encogieron,encogiste,encogeré,encogerás,encogerá,encogeremos,encogeréis,encogerán,encogerás,encogería,encogerías,encogería,encogeríamos,encogeríais,encogerían,encogerías,0.0004033879988329945
asimilar,1402,asimilo,asimilas,asimila,asimilamos,asimiláis,asimilan,asimilás,asimilaba,asimilabas,asimilaba,asimilábamos,asimilabais,asimilaban,asimilabas,asimilé,asimilaste,asimiló,asimilamos,asimilasteis,asimilaron,asimilaste,asimilaré,asimilarás,asimilará,asimilaremos,asimilaréis,asimilarán,asimilarás,asimilaría,asimilarías,asimilaría,asimilaríamos,asimilaríais,asimilarían,asimilarías,0.0004033879988329945
tumbar,1400,tumbo,tumbas,tumba,tumbamos,tumbáis,tumban,tumbás,tumbaba,tumbabas,tumbaba,tumbábamos,tumbabais,tumbaban,tumbabas,tumbé,tumbaste,tumbó,tumbamos,tumbasteis,tumbaron,tumbaste,tumbaré,tumbarás,tumbará,tumbaremos,tumbaréis,tumbarán,tumbarás,tumbaría,tumbarías,tumbaría,tumbaríamos,tumbaríais,tumbarían,tumbarías,0.0004028125523296664
boxear,1400,boxeo,boxeas,boxea,boxeamos,boxeáis,boxean,boxeás,boxeaba,boxeabas,boxeaba,boxeábamos,boxeabais,boxeaban,boxeabas,boxeé,boxeaste,boxeó,boxeamos,boxeasteis,boxearon,boxeaste,boxearé,boxearás,boxeará,boxearemos,boxearéis,boxearán,boxearás,boxearía,boxearías,boxearía,boxearíamos,boxearíais,boxearían,boxearías,0.0004028125523296664
apestar,1399,apesto,apestas,apesta,apestamos,apestáis,apestan,apestás,apestaba,apestabas,apestaba,apestábamos,apestabais,apestaban,apestabas,apesté,apestaste,apestó,apestamos,apestasteis,apestaron,apestaste,apestaré,apestarás,apestará,apestaremos,apestaréis,apestarán,apestarás,apestaría,apestarías,apestaría,apestaríamos,apestaríais,apestarían,apestarías,0.00040252482907800235
desplazar,1399,desplazo,desplazas,desplaza,desplazamos,desplazáis,desplazan,desplazás,desplazaba,desplazabas,desplazaba,desplazábamos,desplazabais,desplazaban,desplazabas,desplacé,desplazaste,desplazó,desplazamos,desplazasteis,desplazaron,desplazaste,desplazaré,desplazarás,desplazará,desplazaremos,desplazaréis,desplazarán,desplazarás,desplazaría,desplazarías,desplazaría,desplazaríamos,desplazaríais,desplazarían,desplazarías,0.00040252482907800235
transcribir,1398,transcribo,transcribes,transcribe,transcribimos,transcribís,transcriben,transcribís,transcribía,transcribías,transcribía,transcribíamos,transcribíais,transcribían,transcribías,transcribí,transcribiste,transcribió,transcribimos,transcribisteis,transcribieron,transcribiste,transcribiré,transcribirás,transcribirá,transcribiremos,transcribiréis,transcribirán,transcribirás,transcribiría,transcribirías,transcribiría,transcribiríamos,transcribiríais,transcribirían,transcribirías,0.0004022371058263383
atrasar,1398,atraso,atrasas,atrasa,atrasamos,atrasáis,atrasan,atrasás,atrasaba,atrasabas,atrasaba,atrasábamos,atrasabais,atrasaban,atrasabas,atrasé,atrasaste,atrasó,atrasamos,atrasasteis,atrasaron,atrasaste,atrasaré,atrasarás,atrasará,atrasaremos,atrasaréis,atrasarán,atrasarás,atrasaría,atrasarías,atrasaría,atrasaríamos,atrasaríais,atrasarían,atrasarías,0.0004022371058263383
alborotar,1396,alboroto,alborotas,alborota,alborotamos,alborotáis,alborotan,alborotás,alborotaba,alborotabas,alborotaba,alborotábamos,alborotabais,alborotaban,alborotabas,alboroté,alborotaste,alborotó,alborotamos,alborotasteis,alborotaron,alborotaste,alborotaré,alborotarás,alborotará,alborotaremos,alborotaréis,alborotarán,alborotarás,alborotaría,alborotarías,alborotaría,alborotaríamos,alborotaríais,alborotarían,alborotarías,0.0004016616593230102
retrasar,1396,retraso,retrasas,retrasa,retrasamos,retrasáis,retrasan,retrasás,retrasaba,retrasabas,retrasaba,retrasábamos,retrasabais,retrasaban,retrasabas,retrasé,retrasaste,retrasó,retrasamos,retrasasteis,retrasaron,retrasaste,retrasaré,retrasarás,retrasará,retrasaremos,retrasaréis,retrasarán,retrasarás,retrasaría,retrasarías,retrasaría,retrasaríamos,retrasaríais,retrasarían,retrasarías,0.0004016616593230102
retribuir,1396,retribuyo,retribuyes,retribuye,retribuimos,retribuís,retribuyen,retribuís,retribuía,retribuías,retribuía,retribuíamos,retribuíais,retribuían,retribuías,retribuí,retribuiste,retribuyó,retribuimos,retribuisteis,retribuyeron,retribuiste,retribuiré,retribuirás,retribuirá,retribuiremos,retribuiréis,retribuirán,retribuirás,retribuiría,retribuirías,retribuiría,retribuiríamos,retribuiríais,retribuirían,retribuirías,0.0004016616593230102
reelegir,1396,reelijo,reeliges,reelige,reelegimos,reelegís,reeligen,reelegís,reelegía,reelegías,reelegía,reelegíamos,reelegíais,reelegían,reelegías,reelegí,reelegiste,reeligió,reelegimos,reelegisteis,reeligieron,reelegiste,reelegiré,reelegirás,reelegirá,reelegiremos,reelegiréis,reelegirán,reelegirás,reelegiría,reelegirías,reelegiría,reelegiríamos,reelegiríais,reelegirían,reelegirías,0.0004016616593230102
descentralizar,1395,descentralizo,descentralizas,descentraliza,descentralizamos,descentralizáis,descentralizan,descentralizás,descentralizaba,descentralizabas,descentralizaba,descentralizábamos,descentralizabais,descentralizaban,descentralizabas,descentralicé,descentralizaste,descentralizó,descentralizamos,descentralizasteis,descentralizaron,descentralizaste,descentralizaré,descentralizarás,descentralizará,descentralizaremos,descentralizaréis,descentralizarán,descentralizarás,descentralizaría,descentralizarías,descentralizaría,descentralizaríamos,descentralizaríais,descentralizarían,descentralizarías,0.00040137393607134615
sobornar,1395,soborno,sobornas,soborna,sobornamos,sobornáis,sobornan,sobornás,sobornaba,sobornabas,sobornaba,sobornábamos,sobornabais,sobornaban,sobornabas,soborné,sobornaste,sobornó,sobornamos,sobornasteis,sobornaron,sobornaste,sobornaré,sobornarás,sobornará,sobornaremos,sobornaréis,sobornarán,sobornarás,sobornaría,sobornarías,sobornaría,sobornaríamos,sobornaríais,sobornarían,sobornarías,0.00040137393607134615
descontar,1394,descuento,descuentas,descuenta,descontamos,descontáis,descuentan,descontás,descontaba,descontabas,descontaba,descontábamos,descontabais,descontaban,descontabas,desconté,descontaste,descontó,descontamos,descontasteis,descontaron,descontaste,descontaré,descontarás,descontará,descontaremos,descontaréis,descontarán,descontarás,descontaría,descontarías,descontaría,descontaríamos,descontaríais,descontarían,descontarías,0.0004010862128196821
designar,1394,designo,designas,designa,designamos,designáis,designan,designás,designaba,designabas,designaba,designábamos,designabais,designaban,designabas,designé,designaste,designó,designamos,designasteis,designaron,designaste,designaré,designarás,designará,designaremos,designaréis,designarán,designarás,designaría,designarías,designaría,designaríamos,designaríais,designarían,designarías,0.0004010862128196821
sobreexponer,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004007984895680181
alterar,1393,altero,alteras,altera,alteramos,alteráis,alteran,alterás,alteraba,alterabas,alteraba,alterábamos,alterabais,alteraban,alterabas,alteré,alteraste,alteró,alteramos,alterasteis,alteraron,alteraste,alteraré,alterarás,alterará,alteraremos,alteraréis,alterarán,alterarás,alteraría,alterarías,alteraría,alteraríamos,alteraríais,alterarían,alterarías,0.0004007984895680181
desconectar,1393,desconecto,desconectas,desconecta,desconectamos,desconectáis,desconectan,desconectás,desconectaba,desconectabas,desconectaba,desconectábamos,desconectabais,desconectaban,desconectabas,desconecté,desconectaste,desconectó,desconectamos,desconectasteis,desconectaron,desconectaste,desconectaré,desconectarás,desconectará,desconectaremos,desconectaréis,desconectarán,desconectarás,desconectaría,desconectarías,desconectaría,desconectaríamos,desconectaríais,desconectarían,desconectarías,0.0004007984895680181
exceder,1393,excedo,excedes,excede,excedemos,excedéis,exceden,excedés,excedía,excedías,excedía,excedíamos,excedíais,excedían,excedías,excedí,excediste,excedió,excedimos,excedisteis,excedieron,excediste,excederé,excederás,excederá,excederemos,excederéis,excederán,excederás,excedería,excederías,excedería,excederíamos,excederíais,excederían,excederías,0.0004007984895680181
desvariar,1392,desvarío,desvarías,desvaría,desvariamos,desvariáis,desvarían,desvariás,desvariaba,desvariabas,desvariaba,desvariábamos,desvariabais,desvariaban,desvariabas,desvarié,desvariaste,desvarió,desvariamos,desvariasteis,desvariaron,desvariaste,desvariaré,desvariarás,desvariará,desvariaremos,desvariaréis,desvariarán,desvariarás,desvariaría,desvariarías,desvariaría,desvariaríamos,desvariaríais,desvariarían,desvariarías,0.00040051076631635404
alertar,1392,alerto,alertas,alerta,alertamos,alertáis,alertan,alertás,alertaba,alertabas,alertaba,alertábamos,alertabais,alertaban,alertabas,alerté,alertaste,alertó,alertamos,alertasteis,alertaron,alertaste,alertaré,alertarás,alertará,alertaremos,alertaréis,alertarán,alertarás,alertaría,alertarías,alertaría,alertaríamos,alertaríais,alertarían,alertarías,0.00040051076631635404
sujetar,1392,sujeto,sujetas,sujeta,sujetamos,sujetáis,sujetan,sujetás,sujetaba,sujetabas,sujetaba,sujetábamos,sujetabais,sujetaban,sujetabas,sujeté,sujetaste,sujetó,sujetamos,sujetasteis,sujetaron,sujetaste,sujetaré,sujetarás,sujetará,sujetaremos,sujetaréis,sujetarán,sujetarás,sujetaría,sujetarías,sujetaría,sujetaríamos,sujetaríais,sujetarían,sujetarías,0.00040051076631635404
punzar,1391,punzo,punzas,punza,punzamos,punzáis,punzan,punzás,punzaba,punzabas,punzaba,punzábamos,punzabais,punzaban,punzabas,puncé,punzaste,punzó,punzamos,punzasteis,punzaron,punzaste,punzaré,punzarás,punzará,punzaremos,punzaréis,punzarán,punzarás,punzaría,punzarías,punzaría,punzaríamos,punzaríais,punzarían,punzarías,0.00040022304306468995
asesorar,1391,asesoro,asesoras,asesora,asesoramos,asesoráis,asesoran,asesorás,asesoraba,asesorabas,asesoraba,asesorábamos,asesorabais,asesoraban,asesorabas,asesoré,asesoraste,asesoró,asesoramos,asesorasteis,asesoraron,asesoraste,asesoraré,asesorarás,asesorará,asesoraremos,asesoraréis,asesorarán,asesorarás,asesoraría,asesorarías,asesoraría,asesoraríamos,asesoraríais,asesorarían,asesorarías,0.00040022304306468995
estremecer,1391,estremezco,estremeces,estremece,estremecemos,estremecéis,estremecen,estremecés,estremecía,estremecías,estremecía,estremecíamos,estremecíais,estremecían,estremecías,estremecí,estremeciste,estremeció,estremecimos,estremecisteis,estremecieron,estremeciste,estremeceré,estremecerás,estremecerá,estremeceremos,estremeceréis,estremecerán,estremecerás,estremecería,estremecerías,estremecería,estremeceríamos,estremeceríais,estremecerían,estremecerías,0.00040022304306468995
presumir,1390,presumo,presumes,presume,presumimos,presumís,presumen,presumís,presumía,presumías,presumía,presumíamos,presumíais,presumían,presumías,presumí,presumiste,presumió,presumimos,presumisteis,presumieron,presumiste,presumiré,presumirás,presumirá,presumiremos,presumiréis,presumirán,presumirás,presumiría,presumirías,presumiría,presumiríamos,presumiríais,presumirían,presumirías,0.0003999353198130259
descuidar,1389,descuido,descuidas,descuida,descuidamos,descuidáis,descuidan,descuidás,descuidaba,descuidabas,descuidaba,descuidábamos,descuidabais,descuidaban,descuidabas,descuidé,descuidaste,descuidó,descuidamos,descuidasteis,descuidaron,descuidaste,descuidaré,descuidarás,descuidará,descuidaremos,descuidaréis,descuidarán,descuidarás,descuidaría,descuidarías,descuidaría,descuidaríamos,descuidaríais,descuidarían,descuidarías,0.0003996475965613619
